leg_id,trip_id,vehicle_id,laden,origin_site,destination_site,distance_km,fuel_l,idle_sec,start_ts,end_ts
TRIP-SB-000004-20260812-04-L1,TRIP-SB-000004-20260812-04,SB-000004,false,전라남도 광양시 금호동,전라남도 광양시 도이동,9,3.008,0,2026-08-12T12:06:53+09:00,2026-08-12T12:52:05+09:00
TRIP-SB-000004-20260812-05-L1,TRIP-SB-000004-20260812-05,SB-000004,false,전라남도 광양시 도이동,전라남도 광양시 금호동,9,3.008,0,2026-08-12T13:03:19+09:00,2026-08-12T13:53:59+09:00
TRIP-SB-000004-20260812-06-L1,TRIP-SB-000004-20260812-06,SB-000004,false,전라남도 광양시 태인동,전라남도 광양시 금호동,4,1.337,0,2026-08-12T14:07:59+09:00,2026-08-12T14:37:30+09:00
TRIP-SB-000004-20260812-07-L1,TRIP-SB-000004-20260812-07,SB-000004,false,전라남도 광양시 금호동,전라남도 광양시 태인동,5,1.671,0,2026-08-12T15:12:55+09:00,2026-08-12T15:42:14+09:00
TRIP-SB-000005-20260812-01-L1,TRIP-SB-000005-20260812-01,SB-000005,false,전라남도 광양시 태인동,전라남도 광양시 금호동,7,2.859,0,2026-08-12T07:21:54+09:00,2026-08-12T08:57:13+09:00
TRIP-SB-000005-20260812-02-L1,TRIP-SB-000005-20260812-02,SB-000005,false,전라남도 광양시 금호동,전라남도 광양시 태인동,7,2.859,0,2026-08-12T08:57:59+09:00,2026-08-12T09:19:47+09:00
TRIP-SB-000005-20260812-03-L1,TRIP-SB-000005-20260812-03,SB-000005,false,전라남도 광양시 태인동,전라남도 광양시 금호동,4,1.634,0,2026-08-12T10:03:56+09:00,2026-08-12T10:16:13+09:00
TRIP-SB-000005-20260812-04-L1,TRIP-SB-000005-20260812-04,SB-000005,false,전라남도 광양시 금호동,전라남도 광양시 태인동,5,2.042,0,2026-08-12T11:57:32+09:00,2026-08-12T12:11:35+09:00
TRIP-SB-000005-20260812-05-L1,TRIP-SB-000005-20260812-05,SB-000005,false,전라남도 광양시 태인동,전라남도 광양시 금호동,8,3.268,0,2026-08-12T12:32:55+09:00,2026-08-12T13:20:01+09:00
TRIP-SB-000005-20260812-06-L1,TRIP-SB-000005-20260812-06,SB-000005,false,전라남도 광양시 금호동,전라남도 광양시 태인동,5,2.042,0,2026-08-12T13:20:33+09:00,2026-08-12T13:45:48+09:00
TRIP-SB-000005-20260812-07-L1,TRIP-SB-000005-20260812-07,SB-000005,false,전라남도 광양시 태인동,전라남도 광양시 금호동,6,2.451,0,2026-08-12T13:56:33+09:00,2026-08-12T14:24:33+09:00
TRIP-SB-000005-20260812-08-L1,TRIP-SB-000005-20260812-08,SB-000005,false,전라남도 광양시 금호동,전라남도 광양시 태인동,6,2.451,0,2026-08-12T15:44:37+09:00,2026-08-12T16:03:59+09:00
TRIP-SB-000006-20260812-01-L1,TRIP-SB-000006-20260812-01,SB-000006,false,전라남도 광양시 태인동,전라남도 광양시 금호동,8,3.075,0,2026-08-12T07:25:55+09:00,2026-08-12T08:34:29+09:00
TRIP-SB-000006-20260812-02-L1,TRIP-SB-000006-20260812-02,SB-000006,false,전라남도 광양시 금호동,전라남도 광양시 태인동,6,2.306,0,2026-08-12T08:35:33+09:00,2026-08-12T08:54:14+09:00
TRIP-SB-000006-20260812-03-L1,TRIP-SB-000006-20260812-03,SB-000006,false,전라남도 광양시 태인동,전라남도 광양시 금호동,8,3.075,0,2026-08-12T09:35:56+09:00,2026-08-12T10:05:43+09:00
TRIP-SB-000006-20260812-04-L1,TRIP-SB-000006-20260812-04,SB-000006,false,전라남도 광양시 금호동,전라남도 광양시 태인동,5,1.922,0,2026-08-12T10:06:25+09:00,2026-08-12T10:22:03+09:00
TRIP-SB-000006-20260812-05-L1,TRIP-SB-000006-20260812-05,SB-000006,false,전라남도 광양시 태인동,전라남도 광양시 금호동,7,2.691,0,2026-08-12T10:24:20+09:00,2026-08-12T11:05:53+09:00
TRIP-SB-000006-20260812-06-L1,TRIP-SB-000006-20260812-06,SB-000006,false,전라남도 광양시 금호동,전라남도 광양시 태인동,7,2.691,0,2026-08-12T11:06:38+09:00,2026-08-12T11:38:39+09:00
TRIP-SB-000006-20260812-07-L1,TRIP-SB-000006-20260812-07,SB-000006,false,전라남도 광양시 태인동,전라남도 광양시 금호동,10,3.844,0,2026-08-12T12:27:38+09:00,2026-08-12T13:07:35+09:00
TRIP-SB-000006-20260812-08-L1,TRIP-SB-000006-20260812-08,SB-000006,false,전라남도 광양시 금호동,전라남도 광양시 태인동,7,2.691,0,2026-08-12T15:11:54+09:00,2026-08-12T15:31:48+09:00
TRIP-SB-000007-20260812-01-L1,TRIP-SB-000007-20260812-01,SB-000007,false,전라남도 광양시 태인동,전라남도 광양시 금호동,5,2.127,0,2026-08-12T07:44:16+09:00,2026-08-12T08:12:26+09:00
TRIP-SB-000007-20260812-02-L1,TRIP-SB-000007-20260812-02,SB-000007,false,전라남도 광양시 금호동,전라남도 광양시 태인동,6,2.553,0,2026-08-12T08:28:14+09:00,2026-08-12T08:44:52+09:00
TRIP-SB-000007-20260812-03-L1,TRIP-SB-000007-20260812-03,SB-000007,false,전라남도 광양시 태인동,전라남도 광양시 금호동,4,1.702,0,2026-08-12T09:04:41+09:00,2026-08-12T09:18:00+09:00
TRIP-SB-000007-20260812-04-L1,TRIP-SB-000007-20260812-04,SB-000007,false,전라남도 광양시 금호동,전라남도 광양시 태인동,6,2.553,0,2026-08-12T09:43:03+09:00,2026-08-12T09:57:14+09:00
TRIP-SB-000007-20260812-05-L1,TRIP-SB-000007-20260812-05,SB-000007,false,전라남도 광양시 태인동,전라남도 광양시 금호동,7,2.978,0,2026-08-12T09:59:28+09:00,2026-08-12T10:24:33+09:00
TRIP-SB-000007-20260812-06-L1,TRIP-SB-000007-20260812-06,SB-000007,false,전라남도 광양시 금호동,전라남도 광양시 태인동,6,2.553,0,2026-08-12T11:34:20+09:00,2026-08-12T11:52:35+09:00
TRIP-SB-000007-20260812-07-L1,TRIP-SB-000007-20260812-07,SB-000007,false,전라남도 광양시 태인동,전라남도 광양시 금호동,7,2.978,0,2026-08-12T13:07:22+09:00,2026-08-12T13:30:11+09:00
TRIP-SB-000007-20260812-08-L1,TRIP-SB-000007-20260812-08,SB-000007,false,전라남도 광양시 금호동,전라남도 광양시 태인동,5,2.127,0,2026-08-12T13:44:35+09:00,2026-08-12T13:59:40+09:00
TRIP-SB-000007-20260812-09-L1,TRIP-SB-000007-20260812-09,SB-000007,false,전라남도 광양시 태인동,전라남도 광양시 금호동,4,1.702,0,2026-08-12T14:05:41+09:00,2026-08-12T14:34:17+09:00
TRIP-SB-000007-20260812-10-L1,TRIP-SB-000007-20260812-10,SB-000007,false,전라남도 광양시 금호동,전라남도 광양시 태인동,6,2.553,0,2026-08-12T15:46:42+09:00,2026-08-12T16:03:20+09:00
TRIP-SB-000008-20260812-01-L1,TRIP-SB-000008-20260812-01,SB-000008,false,전라남도 광양시 태인동,전라남도 광양시 금호동,5,2.546,0,2026-08-12T07:46:12+09:00,2026-08-12T08:18:57+09:00
TRIP-SB-000008-20260812-02-L1,TRIP-SB-000008-20260812-02,SB-000008,false,전라남도 광양시 금호동,전라남도 광양시 도이동,29,14.765,0,2026-08-12T10:38:31+09:00,2026-08-12T12:29:20+09:00
TRIP-SB-000008-20260812-03-L1,TRIP-SB-000008-20260812-03,SB-000008,false,전라남도 광양시 도이동,전라남도 광양시 태인동,31,15.784,0,2026-08-12T13:03:01+09:00,2026-08-12T16:12:38+09:00
TRIP-SB-000009-20260812-01-L1,TRIP-SB-000009-20260812-01,SB-000009,false,전라남도 광양시 태인동,전라남도 광양시 금호동,6,1.895,0,2026-08-12T07:56:45+09:00,2026-08-12T08:15:04+09:00
TRIP-SB-000009-20260812-02-L1,TRIP-SB-000009-20260812-02,SB-000009,false,전라남도 광양시 금호동,전라남도 광양시 태인동,6,1.895,0,2026-08-12T08:38:21+09:00,2026-08-12T08:53:46+09:00
TRIP-SB-000009-20260812-03-L1,TRIP-SB-000009-20260812-03,SB-000009,false,전라남도 광양시 태인동,전라남도 광양시 금호동,7,2.211,0,2026-08-12T09:05:51+09:00,2026-08-12T09:46:07+09:00
TRIP-SB-000009-20260812-04-L1,TRIP-SB-000009-20260812-04,SB-000009,false,전라남도 광양시 금호동,전라남도 광양시 태인동,5,1.580,0,2026-08-12T10:05:53+09:00,2026-08-12T10:20:58+09:00
TRIP-SB-000009-20260812-05-L1,TRIP-SB-000009-20260812-05,SB-000009,false,전라남도 광양시 태인동,전라남도 광양시 금호동,2,0.632,0,2026-08-12T10:31:44+09:00,2026-08-12T10:40:23+09:00
TRIP-SB-000009-20260812-06-L1,TRIP-SB-000009-20260812-06,SB-000009,false,전라남도 광양시 금호동,전라남도 광양시 태인동,7,2.211,0,2026-08-12T11:25:23+09:00,2026-08-12T11:58:49+09:00
TRIP-SB-000009-20260812-07-L1,TRIP-SB-000009-20260812-07,SB-000009,false,전라남도 광양시 태인동,전라남도 광양시 금호동,9,2.843,0,2026-08-12T12:23:15+09:00,2026-08-12T13:14:45+09:00
TRIP-SB-000009-20260812-08-L1,TRIP-SB-000009-20260812-08,SB-000009,false,전라남도 광양시 금호동,전라남도 광양시 태인동,6,1.895,0,2026-08-12T14:07:15+09:00,2026-08-12T14:20:37+09:00
TRIP-SB-000009-20260812-09-L1,TRIP-SB-000009-20260812-09,SB-000009,false,전라남도 광양시 태인동,전라남도 광양시 금호동,8,2.527,0,2026-08-12T14:22:45+09:00,2026-08-12T15:03:04+09:00
TRIP-SB-000009-20260812-10-L1,TRIP-SB-000009-20260812-10,SB-000009,false,전라남도 광양시 금호동,전라남도 광양시 태인동,6,1.895,0,2026-08-12T15:03:45+09:00,2026-08-12T15:20:48+09:00
TRIP-SB-000011-20260812-01-L1,TRIP-SB-000011-20260812-01,SB-000011,false,전라남도 광양시 태인동,전라남도 광양시 금호동,6,2.427,0,2026-08-12T07:56:55+09:00,2026-08-12T08:15:46+09:00
TRIP-SB-000011-20260812-02-L1,TRIP-SB-000011-20260812-02,SB-000011,false,전라남도 광양시 금호동,전라남도 광양시 태인동,6,2.427,0,2026-08-12T08:39:35+09:00,2026-08-12T08:54:08+09:00
TRIP-SB-000011-20260812-03-L1,TRIP-SB-000011-20260812-03,SB-000011,false,전라남도 광양시 태인동,전라남도 광양시 금호동,7,2.832,0,2026-08-12T08:59:14+09:00,2026-08-12T09:30:09+09:00
TRIP-SB-000011-20260812-04-L1,TRIP-SB-000011-20260812-04,SB-000011,false,전라남도 광양시 금호동,전라남도 광양시 태인동,6,2.427,0,2026-08-12T10:56:14+09:00,2026-08-12T11:17:53+09:00
TRIP-SB-000011-20260812-05-L1,TRIP-SB-000011-20260812-05,SB-000011,false,전라남도 광양시 태인동,전라남도 광양시 금호동,9,3.641,0,2026-08-12T11:20:54+09:00,2026-08-12T11:53:08+09:00
TRIP-SB-000011-20260812-06-L1,TRIP-SB-000011-20260812-06,SB-000011,false,전라남도 광양시 금호동,전라남도 광양시 태인동,5,2.023,0,2026-08-12T11:53:39+09:00,2026-08-12T12:07:05+09:00
TRIP-SB-000011-20260812-07-L1,TRIP-SB-000011-20260812-07,SB-000011,false,전라남도 광양시 태인동,전라남도 광양시 금호동,7,2.832,0,2026-08-12T12:28:59+09:00,2026-08-12T13:03:40+09:00
TRIP-SB-000011-20260812-08-L1,TRIP-SB-000011-20260812-08,SB-000011,false,전라남도 광양시 금호동,전라남도 광양시 태인동,7,2.832,0,2026-08-12T13:21:03+09:00,2026-08-12T13:59:32+09:00
TRIP-SB-000011-20260812-09-L1,TRIP-SB-000011-20260812-09,SB-000011,false,전라남도 광양시 태인동,전라남도 광양시 금호동,8,3.236,0,2026-08-12T14:02:12+09:00,2026-08-12T14:45:46+09:00
TRIP-SB-000011-20260812-10-L1,TRIP-SB-000011-20260812-10,SB-000011,false,전라남도 광양시 금호동,전라남도 광양시 태인동,6,2.427,0,2026-08-12T14:46:35+09:00,2026-08-12T15:03:11+09:00
TRIP-SB-000011-20260812-11-L1,TRIP-SB-000011-20260812-11,SB-000011,false,전라남도 광양시 태인동,전라남도 광양시 금호동,6,2.427,0,2026-08-12T15:05:17+09:00,2026-08-12T15:26:04+09:00
TRIP-SB-000011-20260812-12-L1,TRIP-SB-000011-20260812-12,SB-000011,false,전라남도 광양시 금호동,전라남도 광양시 태인동,7,2.832,0,2026-08-12T15:47:29+09:00,2026-08-12T16:12:44+09:00
TRIP-SB-000012-20260812-01-L1,TRIP-SB-000012-20260812-01,SB-000012,false,전라남도 광양시 태인동,전라남도 광양시 금호동,5,2.276,0,2026-08-12T07:56:51+09:00,2026-08-12T08:09:06+09:00
TRIP-SB-000012-20260812-02-L1,TRIP-SB-000012-20260812-02,SB-000012,false,전라남도 광양시 금호동,전라남도 광양시 태인동,7,3.187,0,2026-08-12T08:45:04+09:00,2026-08-12T09:07:39+09:00
TRIP-SB-000012-20260812-03-L1,TRIP-SB-000012-20260812-03,SB-000012,false,전라남도 광양시 태인동,전라남도 광양시 금호동,5,2.276,0,2026-08-12T09:27:03+09:00,2026-08-12T09:38:46+09:00
TRIP-SB-000012-20260812-04-L1,TRIP-SB-000012-20260812-04,SB-000012,false,전라남도 광양시 금호동,전라남도 광양시 태인동,5,2.276,0,2026-08-12T10:02:01+09:00,2026-08-12T10:14:50+09:00
TRIP-SB-000012-20260812-05-L1,TRIP-SB-000012-20260812-05,SB-000012,false,전라남도 광양시 태인동,전라남도 광양시 금호동,3,1.366,0,2026-08-12T10:18:16+09:00,2026-08-12T10:26:45+09:00
TRIP-SB-000012-20260812-06-L1,TRIP-SB-000012-20260812-06,SB-000012,false,전라남도 광양시 금호동,전라남도 광양시 태인동,6,2.731,0,2026-08-12T11:37:25+09:00,2026-08-12T11:52:39+09:00
TRIP-SB-000012-20260812-07-L1,TRIP-SB-000012-20260812-07,SB-000012,false,전라남도 광양시 태인동,전라남도 광양시 금호동,6,2.731,0,2026-08-12T12:28:00+09:00,2026-08-12T12:47:42+09:00
TRIP-SB-000012-20260812-08-L1,TRIP-SB-000012-20260812-08,SB-000012,false,전라남도 광양시 금호동,전라남도 광양시 태인동,6,2.731,0,2026-08-12T13:17:09+09:00,2026-08-12T13:48:54+09:00
TRIP-SB-000012-20260812-09-L1,TRIP-SB-000012-20260812-09,SB-000012,false,전라남도 광양시 태인동,전라남도 광양시 금호동,8,3.642,0,2026-08-12T14:02:50+09:00,2026-08-12T14:22:43+09:00
TRIP-SB-000012-20260812-10-L1,TRIP-SB-000012-20260812-10,SB-000012,false,전라남도 광양시 금호동,전라남도 광양시 태인동,7,3.187,0,2026-08-12T15:17:51+09:00,2026-08-12T15:45:59+09:00
TRIP-SB-000013-20260812-01-L1,TRIP-SB-000013-20260812-01,SB-000013,false,전라남도 광양시 태인동,전라남도 광양시 금호동,6,2.315,0,2026-08-12T07:57:06+09:00,2026-08-12T08:13:40+09:00
TRIP-SB-000013-20260812-02-L1,TRIP-SB-000013-20260812-02,SB-000013,false,전라남도 광양시 금호동,전라남도 광양시 태인동,5,1.929,0,2026-08-12T08:52:50+09:00,2026-08-12T09:06:28+09:00
TRIP-SB-000013-20260812-03-L1,TRIP-SB-000013-20260812-03,SB-000013,false,전라남도 광양시 태인동,전라남도 광양시 금호동,6,2.315,0,2026-08-12T09:10:41+09:00,2026-08-12T09:30:23+09:00
TRIP-SB-000013-20260812-04-L1,TRIP-SB-000013-20260812-04,SB-000013,false,전라남도 광양시 금호동,전라남도 광양시 태인동,6,2.315,0,2026-08-12T09:44:00+09:00,2026-08-12T10:12:34+09:00
TRIP-SB-000013-20260812-05-L1,TRIP-SB-000013-20260812-05,SB-000013,false,전라남도 광양시 태인동,전라남도 광양시 금호동,8,3.086,0,2026-08-12T10:18:27+09:00,2026-08-12T11:23:35+09:00
TRIP-SB-000013-20260812-06-L1,TRIP-SB-000013-20260812-06,SB-000013,false,전라남도 광양시 금호동,전라남도 광양시 태인동,6,2.315,0,2026-08-12T11:24:53+09:00,2026-08-12T11:43:21+09:00
TRIP-SB-000013-20260812-07-L1,TRIP-SB-000013-20260812-07,SB-000013,false,전라남도 광양시 태인동,전라남도 광양시 금호동,6,2.315,0,2026-08-12T12:27:52+09:00,2026-08-12T12:49:48+09:00
TRIP-SB-000013-20260812-08-L1,TRIP-SB-000013-20260812-08,SB-000013,false,전라남도 광양시 금호동,전라남도 광양시 태인동,6,2.315,0,2026-08-12T13:55:31+09:00,2026-08-12T14:23:04+09:00
TRIP-SB-000013-20260812-09-L1,TRIP-SB-000013-20260812-09,SB-000013,false,전라남도 광양시 태인동,전라남도 광양시 금호동,8,3.086,0,2026-08-12T14:37:13+09:00,2026-08-12T15:06:34+09:00
TRIP-SB-000013-20260812-10-L1,TRIP-SB-000013-20260812-10,SB-000013,false,전라남도 광양시 금호동,전라남도 광양시 태인동,5,1.929,0,2026-08-12T16:13:06+09:00,2026-08-12T16:28:34+09:00
TRIP-SB-000014-20260812-01-L1,TRIP-SB-000014-20260812-01,SB-000014,false,전라남도 광양시 태인동,전라남도 광양시 금호동,0,0.000,0,2026-08-12T07:44:57+09:00,2026-08-12T08:22:35+09:00
TRIP-SB-000014-20260812-02-L1,TRIP-SB-000014-20260812-02,SB-000014,false,전라남도 광양시 금호동,전라남도 광양시 태인동,0,0.000,0,2026-08-12T08:32:55+09:00,2026-08-12T09:49:57+09:00
TRIP-SB-000014-20260812-03-L1,TRIP-SB-000014-20260812-03,SB-000014,false,전라남도 광양시 태인동,전라남도 광양시 금호동,0,0.000,0,2026-08-12T09:52:55+09:00,2026-08-12T10:11:45+09:00
TRIP-SB-000014-20260812-04-L1,TRIP-SB-000014-20260812-04,SB-000014,false,전라남도 광양시 금호동,전라남도 광양시 태인동,0,0.000,0,2026-08-12T11:00:28+09:00,2026-08-12T11:30:58+09:00
TRIP-SB-000014-20260812-05-L1,TRIP-SB-000014-20260812-05,SB-000014,false,전라남도 광양시 태인동,전라남도 광양시 금호동,0,0.000,0,2026-08-12T11:36:08+09:00,2026-08-12T11:48:19+09:00
TRIP-SB-000014-20260812-06-L1,TRIP-SB-000014-20260812-06,SB-000014,false,전라남도 광양시 금호동,전라남도 광양시 도이동,0,0.000,0,2026-08-12T12:01:53+09:00,2026-08-12T12:46:34+09:00
TRIP-SB-000014-20260812-07-L1,TRIP-SB-000014-20260812-07,SB-000014,false,전라남도 광양시 도이동,전라남도 광양시 금호동,0,0.000,0,2026-08-12T13:03:40+09:00,2026-08-12T13:26:08+09:00
TRIP-SB-000014-20260812-08-L1,TRIP-SB-000014-20260812-08,SB-000014,false,전라남도 광양시 금호동,전라남도 광양시 태인동,0,0.000,0,2026-08-12T13:42:27+09:00,2026-08-12T14:21:38+09:00
TRIP-SB-000014-20260812-09-L1,TRIP-SB-000014-20260812-09,SB-000014,false,전라남도 광양시 태인동,전라남도 광양시 금호동,0,0.000,0,2026-08-12T14:46:32+09:00,2026-08-12T15:45:51+09:00
TRIP-SB-000014-20260812-10-L1,TRIP-SB-000014-20260812-10,SB-000014,false,전라남도 광양시 금호동,전라남도 광양시 태인동,0,0.000,0,2026-08-12T15:59:10+09:00,2026-08-12T16:25:49+09:00
