leg_id,trip_id,vehicle_id,laden,origin_site,destination_site,distance_km,fuel_l,idle_sec,start_ts,end_ts
TRIP-SB-000001-20260812-01-L1,TRIP-SB-000001-20260812-01,SB-000001,false,전라남도 광양시 태인동,전라남도 광양시 금호동,8,3.167,0,2026-08-12T07:40:28+09:00,2026-08-12T08:20:17+09:00
TRIP-SB-000001-20260812-02-L1,TRIP-SB-000001-20260812-02,SB-000001,false,전라남도 광양시 금호동,전라남도 광양시 태인동,8,3.167,0,2026-08-12T09:54:17+09:00,2026-08-12T10:12:40+09:00
TRIP-SB-000001-20260812-03-L1,TRIP-SB-000001-20260812-03,SB-000001,false,전라남도 광양시 태인동,전라남도 광양시 금호동,11,4.354,0,2026-08-12T10:14:07+09:00,2026-08-12T10:46:40+09:00
TRIP-SB-000001-20260812-04-L1,TRIP-SB-000001-20260812-04,SB-000001,false,전라남도 광양시 금호동,전라남도 광양시 태인동,7,2.771,0,2026-08-12T10:47:18+09:00,2026-08-12T11:04:54+09:00
TRIP-SB-000001-20260812-05-L1,TRIP-SB-000001-20260812-05,SB-000001,false,전라남도 광양시 태인동,전라남도 광양시 금호동,11,4.354,0,2026-08-12T11:08:22+09:00,2026-08-12T11:51:38+09:00
TRIP-SB-000001-20260812-06-L1,TRIP-SB-000001-20260812-06,SB-000001,false,전라남도 광양시 금호동,전라남도 광양시 도이동,10,3.958,0,2026-08-12T11:52:07+09:00,2026-08-12T12:07:47+09:00
TRIP-SB-000001-20260812-07-L1,TRIP-SB-000001-20260812-07,SB-000001,false,전라남도 광양시 도이동,전라남도 광양시 금호동,11,4.354,0,2026-08-12T12:47:49+09:00,2026-08-12T13:29:22+09:00
TRIP-SB-000001-20260812-08-L1,TRIP-SB-000001-20260812-08,SB-000001,false,전라남도 광양시 금호동,전라남도 광양시 태인동,7,2.771,0,2026-08-12T13:29:46+09:00,2026-08-12T13:41:54+09:00
TRIP-SB-000001-20260812-09-L1,TRIP-SB-000001-20260812-09,SB-000001,false,전라남도 광양시 태인동,전라남도 광양시 금호동,7,2.771,0,2026-08-12T13:45:02+09:00,2026-08-12T14:12:38+09:00
TRIP-SB-000001-20260812-10-L1,TRIP-SB-000001-20260812-10,SB-000001,false,전라남도 광양시 금호동,전라남도 광양시 태인동,6,2.375,0,2026-08-12T14:42:11+09:00,2026-08-12T14:54:56+09:00
TRIP-SB-000001-20260812-11-L1,TRIP-SB-000001-20260812-11,SB-000001,false,전라남도 광양시 태인동,전라남도 광양시 금호동,4,1.583,0,2026-08-12T15:04:38+09:00,2026-08-12T15:19:43+09:00
TRIP-SB-000001-20260812-12-L1,TRIP-SB-000001-20260812-12,SB-000001,false,전라남도 광양시 금호동,전라남도 광양시 태인동,6,2.375,0,2026-08-12T16:11:48+09:00,2026-08-12T16:27:42+09:00
TRIP-SB-000002-20260812-01-L1,TRIP-SB-000002-20260812-01,SB-000002,false,전라남도 광양시 태인동,전라남도 광양시 금호동,5,2.042,0,2026-08-12T07:34:46+09:00,2026-08-12T08:14:27+09:00
TRIP-SB-000002-20260812-02-L1,TRIP-SB-000002-20260812-02,SB-000002,false,전라남도 광양시 금호동,전라남도 광양시 태인동,5,2.042,0,2026-08-12T09:14:36+09:00,2026-08-12T09:30:01+09:00
TRIP-SB-000002-20260812-03-L1,TRIP-SB-000002-20260812-03,SB-000002,false,전라남도 광양시 태인동,전라남도 광양시 금호동,3,1.225,0,2026-08-12T09:39:07+09:00,2026-08-12T09:49:53+09:00
TRIP-SB-000002-20260812-04-L1,TRIP-SB-000002-20260812-04,SB-000002,false,전라남도 광양시 금호동,전라남도 광양시 태인동,7,2.859,0,2026-08-12T10:31:04+09:00,2026-08-12T10:48:58+09:00
TRIP-SB-000002-20260812-05-L1,TRIP-SB-000002-20260812-05,SB-000002,false,전라남도 광양시 태인동,전라남도 광양시 금호동,5,2.042,0,2026-08-12T10:50:17+09:00,2026-08-12T11:06:00+09:00
TRIP-SB-000002-20260812-06-L1,TRIP-SB-000002-20260812-06,SB-000002,false,전라남도 광양시 금호동,전라남도 광양시 태인동,7,2.859,0,2026-08-12T11:53:11+09:00,2026-08-12T12:07:12+09:00
TRIP-SB-000002-20260812-07-L1,TRIP-SB-000002-20260812-07,SB-000002,false,전라남도 광양시 태인동,전라남도 광양시 금호동,6,2.450,0,2026-08-12T12:08:36+09:00,2026-08-12T12:57:57+09:00
TRIP-SB-000002-20260812-08-L1,TRIP-SB-000002-20260812-08,SB-000002,false,전라남도 광양시 금호동,전라남도 광양시 태인동,7,2.859,0,2026-08-12T13:14:04+09:00,2026-08-12T13:32:24+09:00
TRIP-SB-000002-20260812-09-L1,TRIP-SB-000002-20260812-09,SB-000002,false,전라남도 광양시 태인동,전라남도 광양시 금호동,7,2.859,0,2026-08-12T14:03:38+09:00,2026-08-12T14:25:05+09:00
TRIP-SB-000002-20260812-10-L1,TRIP-SB-000002-20260812-10,SB-000002,false,전라남도 광양시 금호동,전라남도 광양시 태인동,6,2.450,0,2026-08-12T15:05:48+09:00,2026-08-12T15:23:13+09:00
TRIP-SB-000002-20260812-11-L1,TRIP-SB-000002-20260812-11,SB-000002,false,전라남도 광양시 태인동,전라남도 광양시 금호동,8,3.267,0,2026-08-12T15:26:33+09:00,2026-08-12T15:57:51+09:00
TRIP-SB-000002-20260812-12-L1,TRIP-SB-000002-20260812-12,SB-000002,false,전라남도 광양시 금호동,전라남도 광양시 태인동,6,2.450,0,2026-08-12T15:59:16+09:00,2026-08-12T16:13:54+09:00
TRIP-SB-000003-20260812-01-L1,TRIP-SB-000003-20260812-01,SB-000003,false,전라남도 광양시 태인동,전라남도 광양시 금호동,8,2.457,0,2026-08-12T07:57:37+09:00,2026-08-12T08:14:08+09:00
TRIP-SB-000003-20260812-02-L1,TRIP-SB-000003-20260812-02,SB-000003,false,전라남도 광양시 금호동,전라남도 광양시 태인동,10,3.071,0,2026-08-12T08:45:25+09:00,2026-08-12T09:02:39+09:00
TRIP-SB-000003-20260812-03-L1,TRIP-SB-000003-20260812-03,SB-000003,false,전라남도 광양시 태인동,전라남도 광양시 금호동,12,3.685,0,2026-08-12T09:49:09+09:00,2026-08-12T10:20:12+09:00
TRIP-SB-000003-20260812-04-L1,TRIP-SB-000003-20260812-04,SB-000003,false,전라남도 광양시 금호동,전라남도 광양시 태인동,7,2.150,0,2026-08-12T11:21:57+09:00,2026-08-12T11:34:59+09:00
TRIP-SB-000003-20260812-05-L1,TRIP-SB-000003-20260812-05,SB-000003,false,전라남도 광양시 태인동,전라남도 광양시 금호동,10,3.071,0,2026-08-12T11:39:43+09:00,2026-08-12T12:42:34+09:00
TRIP-SB-000003-20260812-06-L1,TRIP-SB-000003-20260812-06,SB-000003,false,전라남도 광양시 금호동,전라남도 광양시 태인동,7,2.150,0,2026-08-12T12:43:43+09:00,2026-08-12T13:13:09+09:00
TRIP-SB-000003-20260812-07-L1,TRIP-SB-000003-20260812-07,SB-000003,false,전라남도 광양시 태인동,전라남도 광양시 금호동,8,2.457,0,2026-08-12T13:29:21+09:00,2026-08-12T13:45:56+09:00
TRIP-SB-000003-20260812-08-L1,TRIP-SB-000003-20260812-08,SB-000003,false,전라남도 광양시 금호동,전라남도 광양시 태인동,8,2.457,0,2026-08-12T14:08:58+09:00,2026-08-12T14:25:24+09:00
TRIP-SB-000003-20260812-09-L1,TRIP-SB-000003-20260812-09,SB-000003,false,전라남도 광양시 태인동,전라남도 광양시 금호동,7,2.150,0,2026-08-12T14:28:07+09:00,2026-08-12T14:41:23+09:00
TRIP-SB-000003-20260812-10-L1,TRIP-SB-000003-20260812-10,SB-000003,false,전라남도 광양시 금호동,전라남도 광양시 태인동,9,2.764,0,2026-08-12T15:30:42+09:00,2026-08-12T15:50:06+09:00
TRIP-SB-000004-20260812-01-L1,TRIP-SB-000004-20260812-01,SB-000004,false,전라남도 광양시 태인동,전라남도 광양시 금호동,6,2.005,0,2026-08-12T07:56:47+09:00,2026-08-12T08:41:20+09:00
TRIP-SB-000004-20260812-02-L1,TRIP-SB-000004-20260812-02,SB-000004,false,전라남도 광양시 금호동,전라남도 광양시 태인동,6,2.005,0,2026-08-12T08:41:22+09:00,2026-08-12T08:59:22+09:00
TRIP-SB-000004-20260812-03-L1,TRIP-SB-000004-20260812-03,SB-000004,false,전라남도 광양시 태인동,전라남도 광양시 금호동,7,2.339,0,2026-08-12T09:42:12+09:00,2026-08-12T10:16:54+09:00
